Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,70,21,0,76.92307692,23.07692308,0,0.660749157,0.0523223,0.174672058,46.20503376,73.72521758,175.6070055,106.9243059,68.68269956,1.929747313,1.174992373,0.75475494,96.43703687,1.059747658,54.91639505,0.756756757,28,0.12962963,7,0.87037037,47,0.243243243,9,0.8,0.756756757,0.777777778,0.633177237,0.888388388,0.788653769,0.769230769,0.063640694,0.936359306,0.230769231,NaN,0.769230769,NaN,NaN,0.914695196,0.781269057,NaN,0.769230769,0.001,0,0,0,0,0,139592,115620,36486,94.50549451,21.24542125,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,67,24,0,73.62637363,26.37362637,0,0.604920405,0.049804871,0.1767338,43.99480518,74.620366,176.4103874,110.7825884,65.62779904,1.938575686,1.217391081,0.721184605,95.6797703,1.051426047,54.23703881,0.72972973,27,0.203703704,11,0.796296296,43,0.27027027,10,0.710526316,0.72972973,0.72,0.523932382,0.87987988,0.799094585,0.736263736,0.093859911,0.906140089,0.263736264,NaN,0.736263736,NaN,NaN,0.911255946,0.762669269,NaN,0.736263736,0,0,0,0,0,0,139592,115620,36486,92.30769231,19.32234432,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,60,31,0,65.93406593,34.06593407,0,0.490610329,0.055595919,0.185696012,49.11028911,78.40438208,176.4103874,120.7846662,55.62572124,1.938575686,1.327304024,0.611271662,87.13049097,0.957477923,49.39079396,0.648648649,24,0.240740741,13,0.759259259,41,0.351351351,13,0.648648649,0.648648649,0.648648649,0.407907908,0.873873874,0.82621013,0.659340659,0.118902871,0.881097129,0.340659341,NaN,0.659340659,NaN,NaN,0.905607681,0.761691169,NaN,0.659340659,0,0,0,0,0,0,139592,115620,36486,93.40659341,21.79487179,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.573001263,0.056388224,0.191914147,49.49815284,80.45677408,186.3915473,155.237403,31.15414429,2.048258761,1.705905527,0.342353234,83.98104861,0.922868666,45.0562538,0.72972973,27,0.240740741,13,0.759259259,41,0.27027027,10,0.675,0.72972973,0.701298701,0.4839291,0.834334334,0.715076381,0.714285714,0.107893579,0.892106421,0.285714286,NaN,0.714285714,NaN,NaN,0.8709474,0.712819093,NaN,0.714285714,0,0,0,0,0,0,139592,115620,36486,84.61538462,20.23809524,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,63,28,0,69.23076923,30.76923077,0,0.547263682,0.059337467,0.196644503,52.08500734,82.4363439,187.9765098,167.4896373,20.48687249,2.065675932,1.840545465,0.225130467,81.65839298,0.897344978,43.44074325,0.675675676,25,0.222222222,12,0.777777778,42,0.324324324,12,0.675675676,0.675675676,0.675675676,0.453453453,0.829329329,0.724819425,0.692307692,0.103494466,0.896505534,0.307692308,NaN,0.692307692,NaN,NaN,0.862867699,0.710751348,NaN,0.692307692,0,0,0,0,0,0,139592,115620,36486,85.71428571,20.05494505,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.555930931,0.053836025,0.186074298,47.28898743,78.06639131,183.7199817,139.6561225,44.06385917,2.018900898,1.534682665,0.484218233,83.10552755,0.913247556,45.23488778,0.810810811,30,0.314814815,17,0.685185185,37,0.189189189,7,0.638297872,0.810810811,0.714285714,0.487529215,0.823823824,0.688395913,0.714285714,0.134579,0.865421,0.285714286,NaN,0.714285714,NaN,NaN,0.861387517,0.686412343,NaN,0.714285714,0.001,0,0,0,0,0,139592,115620,36486,91.20879121,20.05494505,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,63,28,0,69.23076923,30.76923077,0,0.539989168,0.059289387,0.196012882,52.07916214,82.23606657,183.7199817,147.3786965,36.34128523,2.018900898,1.619546115,0.399354783,83.93220707,0.922331946,45.68485491,0.702702703,26,0.240740741,13,0.759259259,41,0.297297297,11,0.666666667,0.702702703,0.684210526,0.458532353,0.833333333,0.674927546,0.692307692,0.116141768,0.883858232,0.307692308,NaN,0.692307692,NaN,NaN,0.866234508,0.681932149,NaN,0.692307692,0,0,0,0,0,0,139592,115620,36486,87.91208791,21.79487179,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,67,24,0,73.62637363,26.37362637,0,0.603413837,0.049938634,0.174926959,43.86556136,73.38958997,183.7199817,114.7510959,68.96888576,2.018900898,1.261001054,0.757899843,98.03586547,1.077317203,53.36156937,0.783783784,29,0.203703704,11,0.796296296,43,0.216216216,8,0.725,0.783783784,0.753246753,0.574077612,0.866366366,0.699242702,0.736263736,0.099257766,0.900742234,0.263736264,NaN,0.736263736,NaN,NaN,0.899350975,0.728086635,NaN,0.736263736,0,0.001,0,0,0,0,139592,115620,36486,93.40659341,19.04761905,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,68,22,0,75.55555556,24.44444444,0,0.619669612,0.05144938,0.181877525,45.40008681,76.70042499,174.1812845,136.6526346,37.5286499,1.935347606,1.518362607,0.416984999,88.05290542,0.978365616,50.55244923,0.837837838,31,0.264150943,14,0.735849057,39,0.162162162,6,0.688888889,0.837837838,0.756097561,0.56454844,0.868434472,0.814855173,0.755555556,0.121327268,0.878672732,0.244444444,NaN,0.755555556,NaN,NaN,0.887995432,0.759789368,NaN,0.755555556,0,0.001,0,0,0,0,139592,115729,36377,90,20.18518519,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,2,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,65,25,0,72.22222222,27.77777778,0,0.575151057,0.053280918,0.187807592,47.0162773,79.20122144,174.1812845,144.4501955,29.73108901,1.935347606,1.605002172,0.330345433,82.13060401,0.912562267,47.15237015,0.810810811,30,0.245283019,13,0.754716981,40,0.189189189,7,0.697674419,0.810810811,0.75,0.557069771,0.856195818,0.742522468,0.722222222,0.111369775,0.888630225,0.277777778,NaN,0.722222222,NaN,NaN,0.869349161,0.706095307,NaN,0.722222222,0.001,0,0,0,0,0,139592,115729,36377,88.88888889,18.24074074,?,?,?,?
